product_name,quantity,nutrition-score-fr_100g,nutriscore_score,nutriscore_grade,brands,origins,ingredients_text,countries,labels,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,additives,vitamin-c_100g,nova_group,pnns_groups_1,pnns_groups_2
Innocent pur jus de fruit pressé 100% orange sanguine de sicile,0,4.0,4.0,c,Innocent,0,0,France,0,46.0,0.2,0.1,11.0,9.5,0.0,0.0,0.042,0.0,Beverages,Fruit juices
Pur jus d'oranges,0,2.0,2.0,c,0,0,0,France,0,37.0,0.1,0.0,8.3,7.8,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus orange clementine raisin blanc,0,-1.0,-1.0,b,0,0,0,France,0,52.0,0.2,0.0,12.0,0.5,0.012,0.0,0.0,0.0,Beverages,Fruit juices
jus d'orange sans pulpe,1 litre,3.0,3.0,c,lidl,Espagne,0,France,"Sans colorants, Sans conservateurs",0.0,0.06,0.02,9.0,9.0,0.008,0.0,0.02,0.0,Beverages,Fruit juices
100%pur jus d orange,0,4.0,4.0,c,0,0,0,France,0,44.0,0.5,0.1,10.0,10.0,0.0,0.0,0.0,0.0,Beverages,Fruit juices
100% pur jus d'orange,1 l,1.0,1.0,b,tous les jours sont BIO,Ingredient issu de l'AB,Pur jus d'orange,France,"Bio, Bio européen, FR-BIO-01 ",34.0,0.0,0.0,8.6,8.6,0.0,0.0,0.0,1.0,Beverages,Fruit juices
100% pur jus d'orange,0,4.0,4.0,c,0,0,0,France,0,44.0,0.5,0.0,11.0,10.0,0.004,0.0,0.0,0.0,Beverages,Fruit juices
innocent pur jus d'orange sans pulpe,"1,5L",2.0,2.0,c,Innocent,0,19 oranges pressées 100%,France,0,36.0,0.13,0.1,7.8,7.8,0.004,0.0,0.022,0.0,Beverages,Fruit juices
Pur jus d'orange,0,2.0,2.0,c,0,0,0,France,0,39.0,0.0,0.0,9.4,8.7,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus orange de Grèce,0,1.0,1.0,b,0,0,0,France,Bio ,34.0,0.0,0.0,8.6,8.6,0.0,0.0,0.0,0.0,Beverages,Fruit juices
jus d'orange,75cl,5.0,5.0,c,tropicana,bio,FORMATIONS POUR POUR TRİTIONELLES 100ml 200ml(xy Energe 208k 416k,France,"Bio, Agriculture non UE, Agriculture UE, Agriculture UE/Non UE, Sans sucre ajouté ",49.0,0.0,0.0,10.8,10.8,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Brique jus d'orange,0,3.0,3.0,c,Lidl,0,0,France,Point Vert,38.0,0.01,0.01,9.1,9.1,0.004,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus d'orange sanguine de Sicile pressée avec pulpe,0,4.0,4.0,c,Leader Price,0,0,France,0,47.0,0.0,0.0,11.5,10.0,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Pour jus 100% orange sans pulpe,2L,3.0,3.0,c,Paquito,0,0,France,Sans sucre ajouté,45.0,0.5,0.1,10.1,8.8,0.004,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus orange avec pulpe,0,4.0,4.0,c,Auchan,0,0,France,0,44.0,0.1,0.0,10.0,9.5,0.012,0.0,0.0,0.0,Beverages,Fruit juices
Bio 100% pur jus oranges pressées,0,3.0,3.0,c,0,0,0,France,Bio ,43.0,0.1,0.0,9.4,9.4,0.0,0.0,0.0,0.0,Beverages,Fruit juices
jus d'orange  💯% fruits pressés,1L,12.0,12.0,e,joker,0,A,France,"Nutriscore, Nutriscore C",42.0,0.0,0.0,8.6,8.6,0.005,0.0,0.0,0.0,unknown,unknown
Pur jus orange du Brésil,0,2.0,2.0,c,0,0,0,France,0,42.0,0.1,0.0,9.4,8.7,0.012,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus orange,0,-10.0,-10.0,b,0,0,0,France,"Sans conservateurs, Sans additifs",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Trimm jus d'orange,0,14.0,14.0,e,Trimm,0,"Jus d orange Teneur en fruits : 100 % Sans colorant, ni conservateurt conformément à la réglementation",France,"Sans colorants, Sans conservateurs",48.0,0.2,0.0,11.0,9.9,0.0,0.0,0.0,0.0,Beverages,Unsweetened beverages
Bio pur jus orange orange clementine et raisin blanc,1litre,1.0,1.0,b,solevita,Union européenne,"50% jus d'orange, 40% jus de clémen - tine, 10% jus de raisin blanc. Produits issus de l'agriculture biologique. Contient des sucres naturellement présents. Agiter avant d'ouvrir et servir frais.",France,"Bio, Bio européen, FR-BIO-01, Sans sucre ajouté, 01 ",46.8,0.5,0.1,11.0,11.0,0.004,0.0,0.0,0.0,unknown,unknown
Pur jus d'orange,0,4.0,4.0,c,0,0,0,France,0,45.0,0.5,0.0,10.0,10.0,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus d'orange,1 l,3.0,3.0,c,Solevita,0,Jus d'orange issu de l'agriculture biologique.,France,"Bio, Bio européen, Agriculture UE, FR-BIO-01, AB Agriculture Biologique, en:ab-bio-100 ",39.0,0.0,0.0,9.2,9.2,0.0,0.0,0.02,1.0,Beverages,Fruit juices
100% pur jus d'orange,0,3.0,3.0,c,Leader Price,0,0,France,0,42.0,0.0,0.0,10.0,9.5,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus d'orange sanguine de Sicile avec pulpe,0,4.0,4.0,c,Leader Price,0,0,France,0,47.0,0.0,0.0,11.5,10.0,0.0,0.0,0.0,0.0,Beverages,Fruit juices
pur jus d'orange bio,0.75cl,6.0,6.0,d,paquito,0,INFORMATIONS consérver à l'abri de là chaleur et de l'humid,France,"Bio, Bio européen, AB Agriculture Biologique ",187.0,0.5,0.1,8.7,8.7,0.004,0.0,0.02,0.0,Beverages,Fruit juices
Boisson aux jus d'orange et de citron,"0,2 L",11.0,11.0,e,Fruima,0,"Eau, jus d'orange à base de concentré 18%, sucre, jus de citron à base de concentré 2%, arôme naturel d'orange, antioxydant : acide ascorbique.",France,"en:FSC, FSC Mix, FSC C105544 ",35.0,0.5,0.1,8.2,8.2,0.004,0.0,0.0,4.0,Beverages,Sweetened beverages
100% pur jus orange,2 l,2.0,2.0,c,FRUIMA,0,Jus d'orange,France,0,41.0,0.5,0.0,9.4,8.7,0.004,0.0,0.02,1.0,Beverages,Fruit juices
Pur jus d orange,1litre,4.0,4.0,c,Pur jus,0,0,France,"Bio, Bio européen, AB Agriculture Biologique, Fabriqué en France ",47.0,0.5,0.5,11.0,9.5,0.0,0.0,0.0,0.0,Beverages,Fruit juices
"Pur jus de clémentine, orange et raisin blanc",1 L,7.0,7.0,d,FRUIMA,0,"Jus de clémentine 50%, orange 40% et raisin 10%.",France,Eco Emlballages,53.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,1.0,Beverages,Fruit juices
Pur jus d'orange,0,4.0,4.0,c,Gilbert,0,0,France,0,45.0,0.0,0.0,9.3,9.3,0.0,0.0,0.0,0.0,Beverages,Fruit juices
100% pur jus d orange,0,3.0,3.0,c,0,0,0,France,Sans sucre ajouté,46.0,0.5,0.1,11.0,8.0,0.004,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus d'orange fraîchement pressé,0,3.0,3.0,c,0,0,0,France,0,48.0,0.1,0.0,11.0,9.0,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus d'orange BIO,0,3.0,3.0,c,0,0,0,France,Bio ,43.0,0.18,0.0,9.2,9.2,0.002,0.0,0.0,0.0,Beverages,Fruit juices
Bio 100% Pur jus orange sanguines,0,3.0,3.0,c,Andros,0,0,France,Bio ,42.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus orange sans pulpe,0,3.0,3.0,c,0,0,0,France,0,42.0,0.0,0.0,10.0,9.4,0.012,0.0,0.0,0.0,Beverages,Fruit juices
jus orange sans pulpe,1 l,3.0,3.0,c,Andros,0,Jus d'orange,France,"Sans sucre ajouté, Sans colorants, Sans conservateurs",40.0,0.1,0.0,9.1,9.1,0.004,0.0,0.0,1.0,Beverages,Fruit juices
100% pur jus oranges pressées,0,5.0,5.0,c,Andros,0,0,France,"Sans sucre ajouté, Sans colorants, Sans conservateurs",49.0,0.1,0.0,11.0,11.0,0.0,0.0,0.0,0.0,Beverages,Fruit juices
100% pur jus d'orange sans pulpe,1 L e,3.0,3.0,c,Joker,0,"Jus d'orange, vitamine C, vitamine B9.",France,"Point Vert, Fabriqué en France, Sans conservateurs, Pur jus, Source de vitamine B9, Source de vitamine C",44.0,0.0,0.0,9.4,8.7,0.0,0.0,0.045,1.0,Beverages,Fruit juices
Pur jus de fruit d'orange sans pulpe,4 L (2 x 2 L),3.0,3.0,c,Joker,produit conditionné en France,"jus d'orange, vitamines : C, B9.",France,"en:FSC, Sans conservateurs, Pur jus ",0.0,0.0,0.0,9.4,8.7,0.0,0.0,0.045,1.0,Beverages,Fruit juices
Le pur jus velours orange,1 l,4.0,4.0,c,Joker,Europe,"Jus d'orange (80%), raisin; pulpe d'orange (6%); purées de pomme, pêche; vitamine C.",France,"en:European Fruit Juice Control System, Fabriqué en France, Sans conservateurs ",46.0,0.0,0.0,10.1,9.5,0.0,0.0,0.04,1.0,Beverages,Fruit juices
Le Pur Jus Duo jus d'orange et orange sanguine pressées,1 L,3.0,3.0,c,Joker,0,"Jus orange 95 %, jus d'orange sanguine, vitamine C.",France,"Point Vert, Fabriqué en France, Sans sucre ajouté, Sans conservateurs",44.0,0.0,0.0,9.4,8.7,0.0,0.0,0.045,1.0,Beverages,Fruit juices
Le pur jus duo orange-mandarine,0,4.0,4.0,c,Joker,0,"Jus d'orange 50 %, jus de mandarine",France,0,47.0,0.0,0.0,10.5,10.2,0.0,0.0,0.0,1.0,Beverages,Unsweetened beverages
Le Pur jus - Sans pulpe Jus d'orange,2 L,3.0,3.0,c,Joker,0,"jus d'orange, vitamines : C, B9.",France,"en:FSC, Sans conservateurs, Pur jus ",44.0,0.0,0.0,9.4,8.7,0.0,0.0,0.045,1.0,Beverages,Fruit juices
jus d'orange sans pulpe,0,3.0,3.0,c,Joker,0,0,France,0,44.0,0.0,0.0,9.4,8.7,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Jus d'orange avec pulpe à base de jus concentré.,0,2.0,2.0,c,Joker,0,Jus d’orange à base de jus concentré ; pulpe d’orange (3%) ; vitamines : C.,France,"Fabriqué en France, Sans sucre ajouté, Sans colorants, Nutriscore, Nutriscore C",42.0,0.0,0.0,8.9,8.2,0.0,0.0,0.0,1.0,Beverages,Fruit juices
Le pur jus JOKER orange clémentine,0,14.0,14.0,e,joker,0,0,France,0,47.0,0.0,0.0,10.5,10.199999809265,0.0,0.0,0.0,0.0,unknown,unknown
Le pur jus d'orange sans pulpe,0,3.0,3.0,c,Joker,0,0,France,0,44.0,0.0,0.0,9.4,8.7,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Joker le pur jus orange du matin 1L,1litre,4.0,4.0,c,Joker le pur jus,Brésil,0,France,"Sans sucre ajouté, Sans colorants, Sans conservateurs",47.0,0.0,0.0,9.8,9.5,0.004,0.0,0.0,0.0,Beverages,Fruit juices
Jus d'orange avec pulpe à base de jus concentré.,0,2.0,2.0,c,Joker,0,0,France,"Nutriscore, Nutriscore C",42.0,0.0,0.0,8.7,8.7,0.004,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus orange carotte citron et eau de coco,0,1.0,1.0,b,Joker,0,0,France,"Nutriscore, Nutriscore B",36.0,0.0,0.0,7.4,7.2,0.02,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus orange mandarine,1 L,1.0,1.0,b,Joker,0,"Jus d'orange 58%, eau de coco 25%, jus de mandarine 14%, pulpe d'orange 3%.",France,0,37.0,0.0,0.0,7.5,7.4,0.02,0.0,0.0,1.0,Beverages,Fruit juices
Pur jus d'oranges pressées,900 ml,2.0,2.0,c,Tropicana,0,0,France,0,41.0,0.0,0.0,9.3,8.4,0.0,0.0,0.0,0.0,Beverages,Fruit juices
Pur jus Bio mandarine orange raisin,0,4.0,4.0,c,Tropicana,0,0,France,"Organic, EU Organic , fr:ab-agriculture-biologique",47.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,Beverages,Fruit juices
