product_name,quantity,nutrition-score-fr_100g,nutriscore_score,nutriscore_grade,brands,origins,ingredients_text,countries,labels,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,additives,vitamin-c_100g,nova_group,pnns_groups_1,pnns_groups_2
Innocent pur jus de fruit pressé 100% orange sanguine de sicile,,4.0,4.0,c,Innocent,,,France,,46.0,0.2,0.1,11.0,9.5,0.0,,0.042,,Beverages,Fruit juices
Pur jus d'oranges,,2.0,2.0,c,,,,France,,37.0,0.1,0.0,8.3,7.8,0.0,,,,Beverages,Fruit juices
Pur jus orange clementine raisin blanc,,-1.0,-1.0,b,,,,France,,52.0,0.2,0.0,12.0,0.5,0.012,,,,Beverages,Fruit juices
Bouteille 33 cl jus d'orange,33 cl,,,,,,,France,,,,,,,,,,,unknown,unknown
jus d'orange sans pulpe,1 litre,3.0,3.0,c,lidl,Espagne,,France,"Sans colorants, Sans conservateurs",,0.06,0.02,9.0,9.0,0.008,,0.02,,Beverages,Fruit juices
Pur jus d’orange,,,,,Bon et Bio,,,France,,,,,,,,,,,unknown,unknown
100%pur jus d orange,,4.0,4.0,c,,,,France,,44.0,0.5,0.1,10.0,10.0,0.0,,,,Beverages,Fruit juices
100% pur jus d'orange,1 l,1.0,1.0,b,tous les jours sont BIO,Ingredient issu de l'AB,Pur jus d'orange,France,"Bio, Bio européen, FR-BIO-01 ",34.0,0.0,0.0,8.6,8.6,0.0,,,1.0,Beverages,Fruit juices
pur jus d'orange,2L,,,,Carrefour,France,,France,"Labels de distributeurs, Qualité Carrefour",39.0,,,19.0,17.0,,,0.02,,unknown,unknown
100% pur jus d'orange,,4.0,4.0,c,,,,France,,44.0,0.5,0.0,11.0,10.0,0.004,,,,Beverages,Fruit juices
innocent pur jus d'orange sans pulpe,"1,5L",2.0,2.0,c,Innocent,,19 oranges pressées 100%,France,,36.0,0.13,0.1,7.8,7.8,0.004,,0.022,,Beverages,Fruit juices
100% pur jusorange sanguine,,,,,Casino,,,France,,40.0,0.0,0.0,9.4,9.4,0.0,,,,unknown,unknown
Pur jus orange sans pulpe,,,,,Franprix,,Jus d'orange.,France,,,,,,,,,,1.0,Beverages,Fruit juices
100% pur  jus orange,1l,,,,leader price,,Matin Plaisir LEADER PRICE 100% Purjus Orange * **,France,,,,,,,,,,,Beverages,Fruit juices
jus d'orange,1 Litre,,,,Hyper U,,oranges pressées 100%,France,,,,,,,,,,1.0,Beverages,Fruit juices
Pur jus d'orange,,2.0,2.0,c,,,,France,,39.0,0.0,0.0,9.4,8.7,0.0,,,,Beverages,Fruit juices
Pur jus orange de Grèce,,1.0,1.0,b,,,,France,Bio ,34.0,0.0,0.0,8.6,8.6,0.0,,,,Beverages,Fruit juices
Pur jus d'orange avec pulpe,,,,,,,,France,"Nutriscore, Nutriscore C",38.0,0.5,0.1,8.7,8.7,,,,,Beverages,Fruit juices
jus d'orange,75cl,5.0,5.0,c,tropicana,bio,FORMATIONS POUR POUR TRİTIONELLES 100ml 200ml(xy Energe 208k 416k,France,"Bio, Agriculture non UE, Agriculture UE, Agriculture UE/Non UE, Sans sucre ajouté ",49.0,0.0,0.0,10.8,10.8,0.0,,,,Beverages,Fruit juices
Jafaden 100% pur jus d’orange sans pulpe,,,,,,,,France,,47.0,0.5,0.1,11.0,11.0,,,,,Beverages,Fruit juices
jus orange,1l,,,,Solevita,,,France,,43.0,0.2,0.1,9.0,9.0,0.004,,,,unknown,unknown
solevita orange 100% pur  jus pressée,1 L,,,,Lidl,,,France,,,,,,,,,,,Beverages,Fruit juices
jus d'orange  pressé,1L,,,,Leclerc,,100% naturelle,France,,,,,,,,,,,Beverages,Fruit juices
Brique jus d'orange,,3.0,3.0,c,Lidl,,,France,Point Vert,38.0,0.01,0.01,9.1,9.1,0.004,,,,Beverages,Fruit juices
Pur jus d'orange sanguine de Sicile pressée avec pulpe,,4.0,4.0,c,Leader Price,,,France,,47.0,0.0,0.0,11.5,10.0,0.0,,,,Beverages,Fruit juices
Pour jus 100% orange sans pulpe,2L,3.0,3.0,c,Paquito,,,France,Sans sucre ajouté,45.0,0.5,0.1,10.1,8.8,0.004,,,,Beverages,Fruit juices
Purr jus d orange frais,,,,,,,,France,,,,,,,,,,,unknown,unknown
Pur jus d orange,,,,,,,,France,,38.0,0.5,0.1,9.0,9.0,,,,,unknown,unknown
Pur jus orange avec pulpe,,4.0,4.0,c,Auchan,,,France,,44.0,0.1,0.0,10.0,9.5,0.012,,,,Beverages,Fruit juices
Jus d'orange pur jus sans pulpe,,,,,,,,France,,,,,,,,,,,Beverages,Fruit juices
Bio 100% pur jus oranges pressées,,3.0,3.0,c,,,,France,Bio ,43.0,0.1,0.0,9.4,9.4,0.0,,,,Beverages,Fruit juices
jus d'orange  💯% fruits pressés,1L,12.0,12.0,e,joker,,A,France,"Nutriscore, Nutriscore C",42.0,0.0,0.0,8.6,8.6,0.005,,,,unknown,unknown
Pur jus orange du Brésil,,2.0,2.0,c,,,,France,,42.0,0.1,0.0,9.4,8.7,0.012,,,,Beverages,Fruit juices
1L jus d'orange frais,,,,,Leclerc,,,France,,,,,,,,,,,unknown,unknown
jus d'orange,,,,,,,,France,,,,,,,,,,,Beverages,Fruit juices
Jus d'orange 100% jus,,,,,Leclerc,,,France,,,,,,,,,,,unknown,unknown
Bouteille jus d'orange 25 CL,,,,,Leclerc,,,France,,,,,,,,,,,unknown,unknown
Jus D'orange 100% pur jus,,,,,,,,France,Sans additifs,,,,,,,,,,Beverages,Fruit juices
Jus d'orange  100% put jus,,,,,,,,France,"Sans colorants, Sans conservateurs",,,,,,,,,,unknown,unknown
Pur jus orange,,-10.0,-10.0,b,,,,France,"Sans conservateurs, Sans additifs",0.0,0.0,0.0,0.0,0.0,0.0,,,,Beverages,Fruit juices
Jus d'orange 100% pur jus 1L,,,,,,,,France,,,,,,,,,,,Beverages,Fruit juices
Jus d'orange 100% pur jus pressé du jour,,,,,,,,France,,,,,,,,,,,unknown,unknown
jus orange,,,,,,,,France,,,,,,,,,,,unknown,unknown
Trimm jus d'orange,,14.0,14.0,e,Trimm,,"Jus d orange Teneur en fruits : 100 % Sans colorant, ni conservateurt conformément à la réglementation",France,"Sans colorants, Sans conservateurs",48.0,0.2,0.0,11.0,9.9,0.0,,,,Beverages,Unsweetened beverages
Bio pur jus orange orange clementine et raisin blanc,1litre,1.0,1.0,b,solevita,Union européenne,"50% jus d'orange, 40% jus de clémen - tine, 10% jus de raisin blanc. Produits issus de l'agriculture biologique. Contient des sucres naturellement présents. Agiter avant d'ouvrir et servir frais.",France,"Bio, Bio européen, FR-BIO-01, Sans sucre ajouté, 01 ",46.8,0.5,0.1,11.0,11.0,0.004,,,,unknown,unknown
Pur jus d’orange sanguine,,,,,,,,France,,45.0,0.10000000149012,0.0,10.5,10.5,,,,,Beverages,Fruit juices
jus d'orange,50 cl,,,,Leclerc,,oranges,France,"Sans sucre ajouté, Sans colorants, Sans conservateurs",,,,,,,,,1.0,Beverages,Fruit juices
Pur jus d'orange,,4.0,4.0,c,,,,France,,45.0,0.5,0.0,10.0,10.0,0.0,,,,Beverages,Fruit juices
Pur jus d'orange bio,,,,,,,,France,Bio ,40.0,0.2,0.0,8.7,8.7,0.0,,,,unknown,unknown
Pur jus d'orange,1 l,3.0,3.0,c,Solevita,,Jus d'orange issu de l'agriculture biologique.,France,"Bio, Bio européen, Agriculture UE, FR-BIO-01, AB Agriculture Biologique, en:ab-bio-100 ",39.0,0.0,0.0,9.2,9.2,0.0,,0.02,1.0,Beverages,Fruit juices
Bio jus d'orange ,1l,,,,Solivita,,,France,Bio ,,,,,,,,,,unknown,unknown
Solevita jus d'orange,,,,,,,,France,,45.0,0.1,0.0,10.1,10.1,0.012,,,,unknown,unknown
Le pur jus d'orange sans pulpe,,,,,,,,France,,,,,,,,,,,Beverages,Fruit juices
Pur jus orange/ kiwi 1L,,,,,,,,France,,,,,,,,,,,unknown,unknown
100% pur jus orange,,,,,,,,France,,42.0,0.0,0.0,10.0,10.0,,,,,Beverages,Fruit juices
100% pur jus d'orange,,3.0,3.0,c,Leader Price,,,France,,42.0,0.0,0.0,10.0,9.5,0.0,,,,Beverages,Fruit juices
Pur jus d'orange sanguine de Sicile avec pulpe,,4.0,4.0,c,Leader Price,,,France,,47.0,0.0,0.0,11.5,10.0,0.0,,,,Beverages,Fruit juices
pur jus d'orange bio,0.75cl,6.0,6.0,d,paquito,,INFORMATIONS consérver à l'abri de là chaleur et de l'humid,France,"Bio, Bio européen, AB Agriculture Biologique ",187.0,0.5,0.1,8.7,8.7,0.004,,0.02,,Beverages,Fruit juices
Pur jus d'orange,,,,,,,,France,,,,,,,,,,,Beverages,Fruit juices
jus d'orange,"1,5 litre",,,,Auchan,,,France,"Nutriscore, Nutriscore C",,,,,,,,,,unknown,unknown
Boisson aux jus d'orange et de citron,"0,2 L",11.0,11.0,e,Fruima,,"Eau, jus d'orange à base de concentré 18%, sucre, jus de citron à base de concentré 2%, arôme naturel d'orange, antioxydant : acide ascorbique.",France,"en:FSC, FSC Mix, FSC C105544 ",35.0,0.5,0.1,8.2,8.2,0.004,,,4.0,Beverages,Sweetened beverages
Confiture de melon au jus d'orange,265 g,,,,,,,France,,49.0,0.1,0.1,60.3,60.1,0.004,,,,unknown,unknown
100% pur jus orange,2 l,2.0,2.0,c,FRUIMA,,Jus d'orange,France,,41.0,0.5,0.0,9.4,8.7,0.004,,0.02,1.0,Beverages,Fruit juices
Pur jus d orange,1litre,4.0,4.0,c,Pur jus,,,France,"Bio, Bio européen, AB Agriculture Biologique, Fabriqué en France ",47.0,0.5,0.5,11.0,9.5,0.0,,,,Beverages,Fruit juices
"Pur jus de clémentine, orange et raisin blanc",1 L,7.0,7.0,d,FRUIMA,,"Jus de clémentine 50%, orange 40% et raisin 10%.",France,Eco Emlballages,53.0,0.0,0.0,13.0,13.0,0.0,,,1.0,Beverages,Fruit juices
Pur jus d'orange,,4.0,4.0,c,Gilbert,,,France,,45.0,0.0,0.0,9.3,9.3,0.0,,,,Beverages,Fruit juices
E.Leclerc jus d'orange 1L,,,,,,,,France,,40.0,0.0,0.0,7.9,0.8,0.0,,,,unknown,unknown
jus d’orange pressé,,,,,,,,France,,40.0,0.0,0.0,79.0,0.60000002384186,0.0,,,,unknown,unknown
100% pur jus d orange,,3.0,3.0,c,,,,France,Sans sucre ajouté,46.0,0.5,0.1,11.0,8.0,0.004,,,,Beverages,Fruit juices
Pur jus d'orange fraîchement pressé,,3.0,3.0,c,,,,France,,48.0,0.1,0.0,11.0,9.0,0.0,,,,Beverages,Fruit juices
Pur jus d'orange BIO,,3.0,3.0,c,,,,France,Bio ,43.0,0.18,0.0,9.2,9.2,0.002,,,,Beverages,Fruit juices
